Institution,CatalogNumberPrefix,Kind of Object,Order,Family,ScientificName,Common Name (Name : Language),Date Collected,Country,ProvinceStateTerritory,PreciseLocation.Verbatim,Elevation.m,Collector,FieldNumber,Sex.Stage,Preparation.Remarks
NMNH,256443,Specimen/Lot,Passeriformes,Emberizidae,Arremon aurantiirostris occidentalis,Orange-billed Sparrow,29-Nov-10,Colombia,Valle de Cauca,San Jose,61 m,"Richardson, W. B.",AMNH 107567; T.56; N69,Male,Skin: Whole
NMNH,256151,Specimen/Lot,Passeriformes,Formicariidae,Myrmotherula surinamensis pacifica,Streaked Antwren; Pacific Antwren,29-Nov-10,Colombia,Valle de Cauca,San Jose,61 m,"Richardson, W. B.",,Female,Skin: Whole
NMNH,256390,Specimen/Lot,Passeriformes,Emberizidae,Tangara labradorides labradorides,Metallic-green Tanager,Dec-10,Colombia,Cauca,,,"Richardson, W. B.",,unknown,Skin: Whole
NMNH,255979,Specimen/Lot,Passeriformes,Tyrannidae,Colonia colonus leuconotus,Long-tailed Tyrant,4-Dec-10,Colombia,Valle Del Cauca,San Jose,61 m,"Richardson, W. B.",AMNH 107488,Female,Skin: Whole
NMNH,256341,Specimen/Lot,Passeriformes,Emberizidae,Mitrospingus cassinii cassinii,Dusky-faced Tanager,7-Dec-10,Colombia,Valle de Cauca,San Jose,61 m,"Richardson, W. B.",,Male,Skin: Whole
NMNH,256466,Specimen/Lot,Passeriformes,Emberizidae,Sporophila americana hicksii,Variable Seedeater; Variable Seedeater (Black),7-Dec-10,Colombia,Valle de Cauca,San Jose,61 m,"Richardson, W. B.",AMNH 107562,Male,Skin: Whole
NMNH,256044,Specimen/Lot,Passeriformes,Pipridae,Manacus vitellinus viridiventris,Golden-collared Manakin,8-Dec-10,Colombia,Valle de Cauca,San Jose,61 m,"Richardson, W. B.",AMNH 107518,Male,Skin: Whole
NMNH,256062,Specimen/Lot,Passeriformes,Tyrannidae,Pachyramphus cinnamomeus cinnamomeus,Cinnamon Becard,9-Dec-10,Colombia,Valle Del Cauca,San Jose,61 m,"Richardson, W. B.",AMNH 107523,Male,Skin: Whole
NMNH,256046,Specimen/Lot,Passeriformes,Pipridae,Pipra coronata minuscula,Blue-crowned Manakin,9-Dec-10,Colombia,Valle de Cauca,San Jose,61 m,"Richardson, W. B.",AMNH 107510,Male,Skin: Whole
NMNH,256217,Specimen/Lot,Passeriformes,Troglodytidae,Thryothorus nigricapillus connectens,Bay Wren,9-Dec-10,Colombia,Valle de Cauca,San Jose,61 m,"Richardson, W. B.",AMNH 107545,Male,Skin: Whole
