Name.Verb	Subspecies	Name.Clem	Localities
Pyrrhomyias cinnamomea	pyrrhoptera	Pyrrhomyias cinnamomeus	Los Robles-1; Miraflores-1
Ramphastos swainsonii		Ramphastos ambiguus	Miraflores-2
Ramphocelus chrysonotus		Ramphocelus flammigerus	La Manuelita-1; Miraflores-2
Ramphocelus icteronotus		Ramphocelus flammigerus	
Ramphocelus 		Ramphocelus sp. 	
Rupicola peruviana	aequatorialis	Rupicola peruvianus	San Agustin-1
Schiffornis turdinus	stenorhynchus	Schiffornis stenorhyncha	El Consuelo-1; Puerto Berrio-1
Schistochlamys melanopsis		Schistochlamys melanopis	Monteredondo-2
Sporophila aurita		Sporophila corvina	
Sporophila 		Sporophila sp.	
Sturnella militaris		Leistes militaris	Barranquilla-1
Tangara chrysophrys		Ixothraupis guttata	_Icononzo-1
Tangara cyanoptera		Stilpnia cyanoptera	
Tangara heinei		Stilpnia heinei	Fusagasuga-3; San Antonio-1
Tangara nigrocincta		Stilpnia nigrocincta	Honda-1
Tangara ruficapilla			
Thamnophilus tenuipunctatus		Thamnophilus tenuepunctatus	Villavicencio-1
Thraupis virens			
Thryothorus fasciatoventris	fasciatoventris	Pheugopedius fasciatoventris	Algodonal-1; Honda-2
Thryothorus fasciatoventris	fascio-ventris	Pheugopedius fasciatoventris	Algodonal-1; Honda-2
Thryothorus genibarbis	saltuensis	Pheugopedius mystacalis	-1; Buena Vista-1
Thryothorus genibarbis	amaurogaster	Pheugopedius mystacalis	-1; Buena Vista-1
Thryothorus leucotis	leucotis	Cantorchilus leucotis	Algodonal-1; Marangue-1; Villavicencio-1
Thryothorus leucotis	bogotensis	Cantorchilus leucotis	Algodonal-1; Marangue-1; Villavicencio-1
Thryothorus nigricapillus		Cantorchilus nigricapillus	
Thryothorus rufalbus	minlosi	Thryophilus rufalbus	Villavicencio-3
Thryothorus rutilus	hypospodius	Pheugopedius rutilus	Villavicencio-2
